Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'9623086924119,title,nl,,,Hälsing Foldable Saw,Hälsing Opvouwbare Zaag
PRODUCT,'9623086924119,body_html,nl,,,"<ul>
<li><span style=""color: black;"">Outdoorzaag voor bushcrafters, kampeerders en gereedschapsliefhebbers.</span></li>
<li><span style=""color: black;"">Hoogpresterend zaagblad van hoogwaardig koolstofstaal, verkrijgbaar in twee lengtes.</span></li>
<li><span style=""color: black;"">Handvat van eikenhout met een beschermende afwerking van lijnolie.</span></li>
<li><span style=""color: black;"">7 TPI, drievoudige slijping – ontworpen om een breed scala aan toepassingen aan te kunnen.</span></li>
</ul>",
PRODUCT,'9623086924119,handle,nl,,,halsing-foldable-saw,
PRODUCT,'9623086924119,product_type,nl,,,"",
PRODUCT,'9623086924119,meta_title,nl,,,Hälsing Foldable Hand Saw - Oak & High Carbon Steel ,
PRODUCT,'9623086924119,meta_description,nl,,,A reliable handsaw with a high carbon steel blade and a sturdy oak handle. Developed for bush crafting and outdoor adventures.,
PRODUCT,'9623087350103,title,nl,,,Ljusnan Folding Saw,
PRODUCT,'9623087350103,body_html,nl,,,"<ul>
<li><span lang=""EN-US"" style=""color: black; mso-ansi-language: EN-US;"">Outdoor saw for pruning trees and clearing trails.</span></li>
<li><span lang=""EN-US"" style=""color: black; mso-ansi-language: EN-US;"">High-carbon stainless steel sawblade in two lengths (10C28Mo2) that won’t be dulled by rust and requires minimal maintenance.</span></li>
<li><span lang=""EN-US"" style=""color: black; mso-ansi-language: EN-US;"">Handle made from walnut with a protective linseed oil finish.</span></li>
<li>
<span lang=""EN-US"" style=""color: black; mso-ansi-language: EN-US;"">7 TPI, 3 phase grind - designed to handle a wide range of applications.</span><span lang=""EN-US"" style=""color: black; mso-ansi-language: EN-US;""></span>
</li>
</ul>",
PRODUCT,'9623087350103,handle,nl,,,ljusnan-foldable-saw,
PRODUCT,'9623087350103,product_type,nl,,,Saw,
PRODUCT,'9623087350103,meta_description,nl,,,"A sharp, rust-resistant saw with a stainless steel blade (10C28Mo2) and a walnut handle. Built for efficient sawing and minimal upkeep.",
PRODUCT,'9763547316567,title,nl,,,Woxna Gift Card,
PRODUCT,'9763547316567,body_html,nl,,,"<p class=""p1"">Choosing the perfect tool for people who know their gear can be tricky, so sometimes the perfect gift is to let someone choose themselves. This gift card will be an excellent gift for bushcrafters, camper, outdoor enthusiast, or tool connoisseur, and it’s delivered instantly ideal for last-minute gifts!</p>
<ul>
<li class=""p1"">Woxna Gift Cards are physical cards delivered in our magnetic box </li>
<li class=""p1"">It is valid for one year from the date of purchase.</li>
</ul>
<p class=""p1""><strong>Easy to use</strong></p>
<ol class=""ol1"">
<li class=""li1"">Select the amount and proceed to the checkout.</li>
<li class=""li1"">Complete your purchase, and you’ll receive a digital receipt with a unique code, you will be given the option to send the code directly to the recipient’s email.</li>
<li class=""li1"">The code can be used by the gift card recipients as payment when they check out.</li>
</ol>
<p class=""p1""> </p>
<p> </p>",
PRODUCT,'9763547316567,handle,nl,,,woxna-gift-card,
PRODUCT,'9763547316567,product_type,nl,,,"",
